Date,Day_of_Week,Arrival_Time,Service_Type,Branch,Queue_Size,Total_OPD_Time_Mins
12/6/2025,Thursday,09:00 - 10:00,Minor Procedures,Branch 1,11,217
28/3/2026,Saturday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,8,135
18/2/2026,Wednesday,09:00 - 10:00,Lab Services,Branch 3,7,179
12/9/2025,Friday,08:00 - 09:00,Dermatology,Branch 2,6,131
16/12/2025,Tuesday,16:00 - 17:00,Pediatrics,Branch 3,13,256
23/11/2025,Sunday,09:00 - 10:00,General Consultation,Branch 1,7,163
3/5/2025,Saturday,16:00 - 17:00,Cardiology,Branch 3,1,138
15/10/2025,Wednesday,10:00 - 11:00,Orthopedics,Branch 3,3,142
26/12/2025,Friday,10:00 - 11:00,Orthopedics,Branch 1,4,141
20/7/2025,Sunday,16:00 - 17:00,Pediatrics,Branch 2,12,188
27/11/2025,Thursday,16:00 - 17:00,Pediatrics,Branch 3,11,234
24/4/2025,Thursday,08:00 - 09:00,Pediatrics,Branch 2,5,104
21/7/2025,Monday,10:00 - 11:00,Minor Procedures,Branch 2,12,195
20/1/2026,Tuesday,11:00 - 12:00,General Consultation,Branch 3,11,222
22/8/2025,Friday,15:00 - 16:00,Lab Services,Branch 1,7,150
25/4/2025,Friday,13:00 - 14:00,General Consultation,Branch 1,6,150
31/7/2025,Thursday,09:00 - 10:00,Obstetrics & Gynecology,Branch 2,4,103
27/6/2025,Friday,13:00 - 14:00,Orthopedics,Branch 3,10,230
4/5/2025,Sunday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,12,216
26/5/2025,Monday,11:00 - 12:00,General Consultation,Branch 2,15,212
10/4/2026,Friday,13:00 - 14:00,Cardiology,Branch 1,15,240
22/3/2026,Sunday,09:00 - 10:00,General Consultation,Branch 3,1,144
19/8/2025,Tuesday,11:00 - 12:00,Pediatrics,Branch 2,7,143
7/2/2026,Saturday,16:00 - 17:00,Lab Services,Branch 1,9,157
16/3/2026,Monday,08:00 - 09:00,Dermatology,Branch 1,11,185
7/5/2025,Wednesday,08:00 - 09:00,Cardiology,Branch 1,3,123
22/7/2025,Tuesday,09:00 - 10:00,General Consultation,Branch 3,0,116
8/2/2026,Sunday,15:00 - 16:00,General Consultation,Branch 2,5,118
23/11/2025,Sunday,14:00 - 15:00,Obstetrics & Gynecology,Branch 2,9,137
3/4/2026,Friday,10:00 - 11:00,Orthopedics,Branch 2,11,182
9/7/2025,Wednesday,08:00 - 09:00,Pediatrics,Branch 1,0,104
27/5/2025,Tuesday,15:00 - 16:00,General Consultation,Branch 1,2,104
25/12/2025,Thursday,16:00 - 17:00,Pediatrics,Branch 1,0,102
6/7/2025,Sunday,10:00 - 11:00,Orthopedics,Branch 1,7,149
6/8/2025,Wednesday,10:00 - 11:00,Pediatrics,Branch 2,8,145
24/8/2025,Sunday,09:00 - 10:00,General Consultation,Branch 2,7,120
12/11/2025,Wednesday,10:00 - 11:00,Orthopedics,Branch 3,6,173
5/12/2025,Friday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,4,162
8/6/2025,Sunday,13:00 - 14:00,Lab Services,Branch 3,5,147
